study_hours_per_week,attendance_percentage,previous_grade,assignments_completed_pct,sleep_hours,extracurricular_activities,parental_support,final_score
33.3,45.6,43.0,48.1,8.6,1,1,39.2
32.2,93.4,62.5,57.2,8.0,0,0,54.6
15.5,63.7,50.3,4.9,8.5,1,0,38.1
11.5,81.0,85.7,40.4,7.1,1,0,46.6
27.3,49.0,93.5,58.3,8.2,1,0,47.3
5.6,97.7,86.2,58.5,4.4,0,2,56.7
8.0,50.7,48.6,65.7,8.3,1,2,47.0
0.3,52.0,49.2,72.0,7.3,1,2,44.4
31.5,91.5,47.8,64.2,7.9,1,1,57.7
26.6,94.8,39.5,79.0,7.6,0,0,39.9
28.2,52.7,96.1,62.5,5.5,1,2,78.0
31.2,68.2,58.1,53.8,4.8,0,1,51.5
18.4,84.0,45.7,60.6,5.9,1,2,56.3
22.7,92.7,89.3,10.1,7.8,0,1,61.2
5.6,62.7,57.9,27.3,8.0,0,1,31.0
4.6,71.0,32.5,52.7,4.9,0,1,36.8
26.7,84.5,41.3,87.3,5.5,0,0,53.0
18.8,83.9,74.7,67.9,5.9,0,1,76.6
22.6,87.0,84.8,9.0,6.5,0,2,60.9
30.6,74.2,44.8,59.2,5.0,1,0,61.7
25.4,46.3,94.2,22.2,4.9,0,0,59.7
22.1,94.2,89.6,73.4,5.8,1,2,75.8
22.4,91.9,89.4,82.7,7.1,0,1,60.0
12.2,87.9,45.9,59.3,5.2,1,2,62.0
1.2,46.0,33.5,59.1,6.8,0,1,22.0
17.5,52.3,90.7,33.9,8.6,1,1,59.6
8.6,84.6,51.4,44.6,5.0,0,2,52.9
16.3,41.4,73.3,86.4,6.7,0,1,33.8
34.1,98.8,83.2,72.3,8.5,1,0,62.3
9.4,62.6,39.0,52.0,6.4,1,1,45.0
2.3,83.2,84.7,36.8,6.1,0,0,49.1
11.3,93.3,95.7,5.0,8.7,1,1,59.3
11.7,63.7,81.0,14.3,6.5,0,2,45.1
26.5,59.1,60.9,19.3,8.7,0,0,29.9
22.3,76.5,91.4,37.3,7.6,0,2,59.2
31.4,74.9,66.9,94.4,6.5,1,1,63.4
26.6,64.5,82.1,50.5,7.7,0,0,48.8
16.3,76.1,87.4,23.5,7.5,0,0,56.7
32.6,96.1,82.5,10.6,8.5,0,2,54.1
6.7,68.1,50.1,33.8,6.2,1,2,48.0
0.9,51.8,38.2,81.6,7.1,0,2,39.2
3.6,62.6,46.7,38.3,6.9,1,1,29.7
28.9,63.6,65.2,77.3,8.1,1,1,46.4
18.5,47.9,65.4,80.3,5.5,1,1,53.6
6.5,49.8,70.8,11.1,8.5,1,1,49.7
20.0,81.1,57.7,60.9,7.7,0,0,50.1
6.1,60.4,85.1,95.9,5.0,0,0,45.6
27.9,97.3,93.9,40.2,8.8,1,2,48.4
17.8,54.6,47.3,5.1,10.4,0,1,33.2
15.2,45.9,81.6,92.3,8.5,0,0,46.3
12.1,85.2,77.5,88.4,9.1,0,2,64.5
25.2,92.9,66.6,52.2,7.1,1,0,50.7
14.5,56.7,43.2,55.2,4.5,1,1,48.7
3.5,52.1,85.7,21.2,4.2,0,0,51.3
4.7,51.1,97.2,81.9,7.4,1,1,53.6
38.5,71.3,80.5,49.9,6.1,1,1,61.3
36.3,68.1,94.3,3.4,5.6,1,2,65.2
28.0,55.6,98.9,68.3,6.9,1,2,69.9
10.6,42.7,54.6,95.0,7.9,1,2,46.7
38.8,68.9,74.7,82.9,4.8,0,0,68.6
31.2,97.6,63.2,27.7,6.3,1,0,53.5
28.7,79.2,99.1,5.3,9.3,0,2,49.3
18.0,69.7,36.6,94.0,5.4,0,2,63.7
10.9,46.6,58.9,93.7,8.3,1,0,38.5
3.9,55.1,91.3,53.2,6.3,1,0,47.5
36.1,57.7,49.9,64.2,7.8,0,1,46.4
18.2,85.9,85.1,46.3,8.6,1,0,54.7
8.1,92.6,56.8,42.0,8.1,0,0,40.2
12.2,94.1,98.6,11.9,8.4,0,2,58.3
23.2,99.1,91.8,9.7,5.3,0,1,63.2
7.1,98.9,51.1,23.3,8.7,1,0,42.1
34.3,97.2,83.9,83.7,5.7,0,1,57.6
30.3,44.3,53.6,14.6,7.4,0,1,49.6
28.8,48.3,72.4,22.7,7.4,1,1,47.0
17.3,58.3,76.1,54.9,7.7,0,2,55.1
25.1,73.2,88.1,21.5,7.5,1,0,45.3
23.4,45.8,31.7,16.3,5.7,0,1,30.8
26.0,90.7,45.4,56.3,5.0,0,2,53.6
3.4,77.0,79.8,36.8,8.3,1,1,58.0
16.6,72.5,69.4,62.6,7.3,0,2,50.9
1.7,49.9,64.7,91.2,8.7,0,1,45.9
19.8,55.2,33.9,15.1,6.9,0,1,28.9
13.2,49.6,54.4,91.3,4.9,0,2,49.4
5.8,91.1,90.6,90.2,8.4,0,1,58.3
4.1,75.1,32.2,82.9,6.4,0,2,52.1
23.5,84.1,57.8,63.1,7.5,1,2,46.1
6.8,57.8,96.2,62.0,6.0,0,2,51.0
37.0,62.3,33.6,63.9,9.5,0,0,25.2
23.2,64.3,82.5,69.0,5.7,0,1,52.8
13.9,85.6,48.0,1.6,6.5,1,2,42.0
23.6,86.3,90.7,95.8,7.2,1,1,59.8
0.9,52.4,82.2,58.6,5.4,1,0,44.9
38.3,96.5,92.0,78.1,7.5,0,0,55.9
19.3,47.2,45.1,37.7,9.4,1,2,31.4
31.3,93.8,67.2,1.2,6.3,0,0,58.4
3.3,46.0,84.5,51.0,7.6,1,0,46.3
19.5,55.9,47.2,50.7,3.0,0,2,51.1
19.6,90.8,46.2,43.7,6.9,0,0,38.7
37.5,50.8,31.9,34.0,6.5,1,2,35.5
22.9,64.8,97.1,25.0,5.8,0,1,51.4
18.9,67.0,79.7,52.8,8.6,0,2,52.8
10.7,54.7,74.5,37.5,6.5,0,1,51.1
13.3,82.6,82.1,97.0,6.7,1,2,72.6
20.8,91.1,67.2,17.3,6.4,1,2,61.5
17.6,92.5,63.3,32.0,4.1,1,0,51.9
0.9,60.4,61.5,29.4,5.3,1,2,47.5
33.1,71.9,74.8,54.3,8.4,0,2,55.2
35.8,54.9,44.1,49.9,3.8,0,0,46.1
5.6,54.7,92.2,64.4,5.9,0,0,63.5
22.2,49.7,86.8,95.0,6.4,0,0,45.2
4.3,96.4,54.5,28.5,9.6,0,0,35.5
26.9,93.3,70.5,69.3,8.2,0,1,65.5
11.2,86.6,39.9,2.5,6.2,0,2,33.3
26.4,71.1,98.1,26.2,9.0,1,1,53.3
29.1,69.4,93.2,46.4,5.9,0,0,56.0
30.7,71.8,94.5,3.1,8.5,1,1,54.3
4.3,72.2,53.3,61.8,5.0,0,0,35.0
36.6,66.1,41.8,67.8,8.6,1,2,54.3
9.2,47.9,44.8,74.7,6.4,1,0,43.2
1.5,47.5,36.3,51.7,5.5,1,2,42.6
22.2,97.1,38.4,60.4,6.7,0,1,44.8
14.8,68.9,35.0,39.6,7.4,0,0,34.3
33.2,97.2,99.3,4.1,6.3,1,2,65.5
32.3,49.8,35.2,10.0,7.8,1,1,33.6
12.7,73.3,39.3,65.5,6.1,0,2,60.0
38.1,52.5,87.9,99.6,7.9,1,1,64.7
11.6,55.2,70.6,1.6,7.7,0,2,34.3
20.6,41.8,84.2,55.8,6.9,0,1,51.2
10.2,47.1,74.2,75.1,6.3,0,0,37.7
37.4,95.0,91.8,82.7,7.2,1,0,63.7
6.6,59.3,74.7,54.5,7.8,1,1,41.4
1.8,76.5,66.5,62.0,10.1,0,1,39.1
17.4,67.9,79.9,69.7,8.4,1,2,63.4
39.7,64.0,61.3,85.9,8.5,1,1,59.9
35.7,71.9,54.2,12.2,11.6,0,2,46.7
29.9,51.2,62.7,92.6,7.8,1,0,43.9
35.6,99.3,41.9,2.6,7.7,1,1,45.5
35.7,89.1,85.8,83.6,8.1,1,2,73.4
20.8,84.5,48.2,7.7,5.5,0,0,39.1
12.6,68.1,40.7,19.5,6.3,1,0,35.2
30.9,49.2,47.2,0.4,6.2,0,2,43.9
26.5,95.2,88.9,44.5,8.0,0,1,59.4
14.9,60.5,53.1,33.4,6.7,1,2,47.8
3.8,43.0,78.0,16.6,7.2,1,1,50.6
29.9,60.5,89.9,45.1,8.6,1,2,58.3
10.5,87.7,35.4,40.2,8.3,1,2,50.7
37.5,77.4,83.6,76.8,6.8,1,2,74.1
9.6,85.1,51.5,89.3,6.0,1,0,43.3
4.9,87.6,45.2,65.3,8.7,0,1,35.0
33.2,52.7,78.2,12.4,8.2,1,0,41.0
6.1,95.4,93.7,29.5,4.6,0,0,54.1
7.2,66.3,50.7,91.3,6.5,0,0,43.1
24.0,78.3,69.8,8.9,7.2,1,1,54.6
35.0,40.1,50.3,40.7,8.2,1,1,49.3
7.9,99.6,68.8,94.3,8.4,0,2,61.2
12.4,56.9,73.5,95.1,7.4,1,0,48.4
31.1,43.7,72.7,41.1,7.9,1,1,36.3
38.9,67.5,73.6,66.7,7.1,0,2,62.1
20.0,47.7,39.5,45.7,6.0,1,2,44.1
5.8,49.1,78.5,75.3,6.6,0,0,46.9
0.6,77.9,77.2,3.2,7.0,1,2,61.9
9.2,63.6,77.8,14.4,6.9,1,0,51.7
5.3,95.3,35.2,61.4,4.2,1,1,56.2
27.1,59.1,61.3,23.3,6.4,1,1,42.7
4.9,83.6,58.6,66.6,7.1,1,2,50.6
20.3,67.7,36.1,35.1,6.6,1,2,44.4
27.8,79.6,45.6,88.7,6.6,0,2,51.7
23.2,76.0,60.9,81.9,7.7,0,2,58.9
8.0,68.4,82.0,49.3,5.4,0,1,56.2
32.2,97.0,46.6,77.3,4.6,1,2,60.5
28.6,60.6,88.1,27.1,6.5,1,0,61.7
29.6,50.6,68.2,49.4,8.1,0,1,47.1
5.2,80.7,83.2,19.7,9.5,0,0,31.1
5.0,90.8,63.1,86.1,8.2,1,2,56.5
37.1,42.4,64.9,82.3,4.8,1,2,63.7
15.9,67.0,73.4,90.2,6.7,0,2,64.6
12.0,93.5,95.0,87.7,7.4,1,2,68.7
19.5,85.0,64.4,96.0,7.3,1,0,61.9
26.5,99.5,67.0,22.8,7.8,1,2,60.2
38.2,71.9,72.1,93.2,5.6,1,1,59.7
11.5,79.6,81.6,57.1,7.1,1,2,51.9
37.0,58.1,35.0,42.2,7.6,1,2,52.7
1.0,96.9,66.1,56.0,8.2,1,1,58.3
22.2,62.0,63.7,34.3,5.8,1,0,49.9
25.4,84.3,94.5,28.9,6.5,0,1,70.5
4.2,64.2,64.5,24.1,3.0,0,1,52.9
5.6,73.7,62.8,8.2,6.1,0,2,49.6
16.8,83.2,97.4,49.7,6.2,1,1,59.8
38.6,70.5,61.5,88.8,5.5,0,1,71.9
23.8,94.4,42.7,63.0,7.2,1,1,56.0
37.3,65.2,45.2,52.1,6.9,0,0,42.4
32.2,78.8,36.7,42.9,3.6,0,0,44.5
18.7,60.5,30.0,46.4,7.3,0,0,34.0
31.4,64.5,60.2,20.9,5.6,1,1,41.8
0.7,66.4,83.8,82.3,7.7,0,1,55.6
4.4,47.5,81.3,19.8,5.1,1,2,45.1
33.2,45.5,32.3,71.7,7.0,1,2,48.2
31.9,80.0,69.9,76.0,6.6,1,0,56.8
9.3,79.3,40.8,57.5,7.5,0,0,36.7
21.2,79.8,95.9,86.3,7.2,1,1,63.2
24.2,41.2,41.7,29.1,6.6,1,2,40.2
34.7,59.6,73.9,88.2,4.7,0,0,71.5
24.1,51.9,52.8,72.9,4.8,0,0,55.5
16.5,86.7,74.9,79.9,6.1,1,0,62.1
15.0,91.6,58.9,66.5,7.0,1,1,55.4
17.0,54.8,83.2,84.6,6.1,0,2,64.8
26.1,80.1,46.1,99.3,7.9,0,2,61.6
34.7,47.8,93.4,42.0,6.6,0,1,52.1
18.2,56.5,65.0,81.4,5.6,1,0,51.7
9.9,48.3,82.9,74.5,6.6,0,1,40.1
9.5,57.0,89.5,45.3,7.3,0,1,56.5
29.8,80.5,99.9,92.7,7.5,0,0,78.6
32.7,94.6,45.7,39.4,9.8,0,2,49.2
4.2,52.2,50.1,56.5,6.0,0,2,29.7
2.7,72.5,47.5,10.6,6.9,0,0,36.1
23.8,82.1,48.4,22.6,7.6,1,0,37.7
5.8,97.2,70.8,84.1,7.0,1,0,52.9
33.0,76.6,99.5,39.7,6.2,0,2,72.0
12.4,55.3,99.3,39.4,4.7,0,1,59.3
5.8,77.5,66.9,24.6,6.2,0,0,40.3
36.8,59.2,74.7,49.2,5.4,1,0,53.5
6.6,98.6,90.2,80.6,4.4,0,0,66.2
11.4,64.0,95.3,89.5,5.8,0,1,59.5
6.1,81.1,44.3,7.0,5.4,1,2,38.7
4.6,41.4,67.0,57.5,7.9,0,0,33.7
0.8,64.0,88.3,46.7,7.9,0,0,46.6
2.2,92.5,51.2,61.4,5.6,0,1,48.4
7.0,76.6,60.8,44.7,6.6,0,2,40.7
2.1,66.6,99.0,39.9,4.2,1,1,66.7
23.6,96.2,99.0,47.2,6.3,1,0,50.7
27.2,91.2,93.4,58.2,7.6,0,0,58.8
15.7,59.3,85.9,50.1,8.2,0,2,49.0
12.7,72.7,48.8,47.2,5.9,0,2,48.9
20.2,69.4,52.5,81.8,8.6,1,2,55.2
35.0,77.9,68.3,74.6,4.7,0,1,70.7
34.0,60.0,69.3,34.1,5.1,0,2,53.1
1.7,54.7,65.4,80.1,8.1,1,1,48.6
7.3,94.8,74.6,85.4,9.5,0,0,51.7
9.5,95.4,58.6,15.3,7.7,0,1,34.3
10.0,90.6,82.4,58.3,6.9,0,2,72.0
22.8,98.7,53.3,28.5,3.7,1,1,50.4
16.7,84.7,53.1,73.9,4.0,1,2,65.1
2.0,85.9,38.9,23.9,7.2,1,2,44.4
14.9,85.8,43.2,67.1,6.5,0,0,46.8
21.0,68.8,89.5,25.5,5.3,1,0,53.8
4.1,67.4,61.2,51.1,7.1,1,0,47.7
33.3,54.4,46.0,94.9,7.2,0,2,42.8
2.1,78.7,83.2,38.1,8.4,0,2,50.2
37.0,57.4,68.8,87.6,7.2,0,0,50.3
4.0,55.5,31.5,98.7,8.8,1,0,29.4
33.7,75.2,52.1,87.5,7.0,0,1,57.7
36.1,64.6,42.4,16.6,6.8,0,1,48.8
39.2,53.1,75.9,82.0,8.6,1,2,58.5
32.1,89.0,49.3,3.2,5.5,0,2,57.3
31.2,91.6,34.5,39.3,11.2,1,0,40.8
25.7,50.1,33.8,87.1,7.6,0,0,32.3
31.2,40.5,70.7,68.9,7.6,0,1,47.4
5.4,60.2,31.5,53.3,7.8,1,1,32.7
21.4,87.9,89.4,38.8,9.8,1,2,55.5
20.6,90.4,40.9,81.2,8.2,0,1,50.8
34.3,48.3,72.5,71.0,4.6,1,1,62.2
18.5,86.5,61.1,46.8,9.1,1,0,36.9
15.4,46.9,61.0,89.2,6.5,0,0,34.8
25.6,63.4,35.0,23.0,7.2,1,2,45.1
10.7,99.9,86.2,17.0,5.1,0,2,57.8
5.6,51.6,92.5,64.3,7.8,1,0,51.1
19.1,49.2,30.8,97.2,6.0,0,2,49.7
16.7,65.4,42.5,24.7,7.2,0,1,29.8
9.3,77.2,93.3,25.0,6.6,1,1,48.4
14.7,96.0,68.5,13.9,9.9,1,2,60.2
14.7,98.8,40.5,86.1,10.0,0,2,50.5
13.1,44.2,44.2,22.6,7.1,1,0,29.2
15.2,48.3,76.2,50.3,7.1,0,0,38.0
27.4,87.4,80.7,99.1,6.4,1,2,69.6
11.9,56.2,72.0,1.2,8.7,1,2,35.5
38.0,93.1,96.7,55.6,6.5,1,0,75.6
36.7,79.8,64.6,51.2,6.4,1,2,58.4
19.2,46.7,51.0,80.7,8.5,1,1,49.8
13.1,90.0,63.4,35.5,6.2,1,1,51.5
21.4,50.6,55.2,41.0,6.9,1,0,35.0
33.9,65.4,45.7,16.8,4.6,0,2,47.8
26.1,73.1,33.2,74.1,8.1,1,2,32.9
32.2,70.0,54.7,78.5,9.9,1,1,49.2
21.3,81.2,79.8,13.7,8.1,0,2,52.2
25.3,79.2,31.3,39.3,9.2,1,2,47.7
11.5,99.5,60.7,89.3,5.7,1,2,53.8
29.4,100.0,75.1,0.3,7.4,0,2,65.0
8.1,71.0,72.7,29.9,5.6,0,2,57.0
27.8,45.7,84.4,55.5,6.7,0,2,64.0
34.4,83.7,86.7,33.4,8.2,1,2,63.9
5.3,98.6,79.8,27.2,7.2,1,1,61.7
24.6,59.1,37.2,46.0,4.9,1,2,40.5
3.8,67.7,63.3,18.2,5.0,1,0,47.8
29.0,65.5,72.2,53.0,4.9,0,1,53.1
3.4,43.1,47.2,70.7,7.7,1,1,27.2
37.4,80.3,33.0,57.5,10.1,0,2,38.2
5.5,61.2,45.7,9.3,9.0,0,0,25.8
38.4,87.2,61.8,84.4,4.2,0,1,62.4
32.0,89.9,59.0,17.5,9.1,1,0,49.0
23.7,89.3,42.4,76.5,8.4,0,2,40.5
31.3,65.0,87.7,36.1,4.7,0,2,51.6
31.8,59.3,94.8,78.3,6.5,0,0,68.9
37.8,84.9,44.1,20.6,8.6,0,2,53.1
10.1,88.1,95.1,18.7,7.8,1,1,50.5
23.6,69.5,31.3,49.7,5.0,1,2,49.6
3.8,93.6,94.7,3.3,7.9,1,2,63.3
24.6,48.6,96.6,22.5,3.8,1,0,60.3
6.9,92.7,30.8,72.4,6.7,1,0,44.3
22.6,45.8,83.4,83.7,8.7,1,1,60.1
22.9,49.2,97.9,8.1,7.0,0,0,43.1
18.6,72.0,93.4,88.2,6.3,1,0,63.9
20.9,44.1,97.9,79.8,8.3,1,2,60.2
30.6,43.2,68.5,87.0,8.5,1,2,53.0
32.0,40.0,35.5,69.8,9.0,0,1,33.5
19.7,66.2,89.5,67.4,8.3,0,0,52.8
24.0,86.5,73.0,52.5,8.6,1,0,53.4
37.2,42.1,73.0,65.3,8.1,1,2,49.4
4.8,79.1,59.2,91.9,7.4,0,0,51.6
4.7,89.4,70.0,10.1,7.1,1,0,39.6
3.5,50.1,40.8,31.6,6.6,0,1,30.4
26.3,48.8,81.8,7.2,5.2,1,1,50.9
16.7,91.6,35.3,94.5,5.6,0,1,54.8
31.0,89.4,81.1,44.5,6.6,0,1,49.1
26.8,72.3,89.4,67.5,7.4,1,2,71.5
13.3,89.2,63.1,84.1,9.2,1,1,49.5
35.9,45.6,65.7,99.1,6.9,0,2,65.1
30.5,63.7,51.9,16.2,8.5,0,1,37.2
10.8,84.3,97.9,80.0,8.6,1,1,62.5
14.6,55.4,81.3,88.7,6.7,0,1,66.5
12.6,85.1,55.8,4.9,7.9,1,2,44.6
6.3,70.3,42.2,75.4,6.6,1,2,55.6
5.9,85.0,45.4,35.5,9.0,1,0,37.0
37.4,67.9,62.5,64.9,8.0,0,2,58.5
17.5,62.1,96.0,51.4,5.2,0,2,63.5
15.3,53.2,81.4,26.0,7.2,1,2,56.6
29.2,52.5,45.1,13.5,9.5,0,0,25.8
22.1,85.1,90.2,11.7,6.7,1,2,56.5
37.4,47.1,56.5,10.3,7.7,0,0,33.9
31.2,45.2,89.6,63.8,7.8,1,0,54.7
19.2,50.6,46.9,35.1,5.4,0,2,42.6
15.1,50.5,73.3,21.7,7.8,1,0,45.2
39.5,89.4,94.9,69.2,4.9,1,2,88.0
28.7,63.9,48.1,68.7,6.1,0,1,43.8
38.0,99.4,78.5,53.9,8.6,0,0,54.9
4.7,48.2,99.1,93.5,7.5,0,0,43.2
34.0,79.2,40.5,38.5,6.5,0,2,62.8
25.5,66.9,36.2,83.6,7.7,0,2,49.2
4.9,63.6,77.2,7.5,6.9,0,1,45.5
23.5,92.5,53.8,74.0,7.0,1,2,52.4
27.4,98.5,35.0,98.8,8.0,1,0,52.2
0.5,92.4,63.3,84.7,5.9,0,1,57.8
18.2,51.5,82.8,58.0,7.1,0,0,46.6
33.0,53.2,50.0,62.7,6.5,0,1,53.9
11.8,79.4,53.5,35.3,4.6,1,0,62.2
18.3,57.3,89.2,67.9,5.6,0,1,52.7
17.7,84.1,66.4,77.0,9.4,0,1,44.8
12.1,74.0,89.0,99.8,7.6,0,1,54.9
36.7,73.1,61.2,49.2,5.0,1,1,69.8
31.3,89.7,96.7,6.1,4.7,0,1,72.1
4.4,82.6,75.6,59.6,6.8,1,1,54.3
39.9,41.6,38.1,11.9,9.3,0,0,28.7
35.2,43.0,92.0,24.5,6.7,0,0,45.5
11.4,76.1,64.2,32.9,9.0,0,1,47.6
33.5,69.2,39.9,73.1,7.5,0,2,48.0
4.3,55.6,40.7,18.4,7.7,1,2,33.4
40.0,65.1,78.1,16.6,5.0,0,1,61.6
26.6,85.5,33.3,4.5,8.4,0,2,38.9
26.0,89.6,50.1,87.3,6.5,0,2,58.1
3.6,73.7,39.8,69.4,8.3,1,1,40.5
35.9,63.1,60.9,4.0,5.8,0,0,49.9
1.2,56.2,59.0,2.8,7.3,1,1,45.6
9.6,71.3,66.5,55.9,7.5,1,1,53.0
5.7,58.9,49.6,28.3,6.8,1,0,40.6
31.1,73.8,32.2,59.7,7.6,1,2,47.9
7.9,80.6,73.0,43.5,6.6,1,2,52.1
36.4,44.0,56.2,92.3,6.0,0,0,53.7
26.3,40.1,75.6,28.8,9.4,1,1,44.0
1.4,52.7,37.6,67.9,8.6,1,0,22.3
0.2,93.7,31.0,5.4,5.9,0,0,30.9
2.1,78.8,47.4,95.6,7.9,0,0,41.4
24.2,50.3,62.0,98.1,5.9,1,1,52.9
32.1,93.4,57.6,73.9,5.2,1,0,70.6
9.5,68.2,86.7,46.5,8.6,1,0,51.6
34.0,68.6,56.4,22.0,4.4,0,1,60.5
2.3,96.1,67.1,81.3,8.4,0,1,53.5
32.0,43.6,71.5,73.6,6.6,1,0,52.6
37.1,52.9,31.5,22.2,6.7,0,1,32.2
30.9,75.1,66.1,45.1,7.6,1,0,51.8
27.9,51.7,54.1,46.3,7.9,1,2,47.8
33.5,80.8,59.5,82.6,5.8,0,1,52.2
1.6,52.8,37.0,68.4,8.1,1,2,34.5
8.1,45.9,84.8,64.3,7.2,0,0,43.2
5.0,52.4,96.0,65.0,5.1,0,2,61.8
20.2,65.4,31.6,27.0,6.7,0,1,39.0
29.8,50.6,72.1,37.2,9.1,1,0,40.4
25.2,48.1,83.5,4.6,9.5,1,2,49.5
34.0,91.6,49.9,78.7,8.1,0,0,50.9
6.2,59.2,85.1,43.3,5.2,1,0,34.4
29.4,61.6,74.3,43.8,7.7,1,2,53.4
7.7,43.3,95.0,24.5,8.3,1,0,49.6
10.8,61.4,98.7,20.9,8.1,1,1,41.9
28.4,55.9,33.0,58.8,8.2,1,0,38.0
39.2,76.6,61.1,23.3,7.5,1,0,59.9
24.5,52.3,68.3,6.4,6.9,1,0,37.8
2.2,93.3,40.3,76.8,6.1,0,0,44.3
24.7,95.8,53.5,37.6,4.2,0,1,49.4
1.7,46.0,99.1,38.0,7.5,0,1,56.6
35.4,46.4,31.1,43.1,7.3,1,0,36.1
28.4,46.9,61.7,81.5,7.8,1,1,50.7
6.9,77.2,89.0,32.1,5.0,1,0,64.1
3.7,47.3,52.7,75.8,8.0,0,1,41.4
7.3,91.1,63.6,94.0,10.1,0,2,47.2
39.2,85.3,98.5,66.1,7.1,0,2,69.1
18.3,89.2,63.2,43.2,6.9,1,2,60.6
31.4,71.6,39.2,74.8,7.5,0,0,40.6
25.5,99.8,33.6,45.8,10.0,0,0,26.0
22.9,42.7,96.2,41.4,5.5,1,2,60.9
5.8,64.1,48.6,52.5,7.3,0,0,27.1
37.8,59.4,65.3,31.8,5.8,1,2,67.7
12.1,96.9,36.3,10.4,6.2,1,1,45.1
23.1,74.6,59.7,41.5,6.9,0,0,40.5
28.0,88.4,95.1,12.4,9.0,0,2,55.1
26.0,50.2,65.2,41.0,9.7,0,1,29.1
37.6,98.7,98.0,55.7,7.7,0,2,66.4
5.9,69.9,48.1,93.1,6.4,0,1,52.9
20.3,69.6,65.3,3.6,10.7,0,0,48.4
16.2,98.3,90.2,62.1,6.4,0,2,72.3
19.0,62.8,61.4,45.8,6.1,1,0,46.7
4.8,63.9,49.6,2.0,4.3,0,1,36.2
5.4,75.1,89.9,25.0,9.1,1,1,43.6
11.1,47.7,57.3,11.8,8.5,1,2,50.2
12.2,59.3,67.2,21.7,10.6,0,2,38.1
17.1,51.6,98.4,27.5,4.9,1,1,71.3
24.4,46.2,43.1,40.1,9.2,0,2,44.7
25.4,92.0,51.1,52.9,7.1,1,0,40.9
16.5,75.4,32.2,0.1,8.2,0,0,24.4
16.4,61.5,57.4,16.2,4.5,1,2,46.7
8.7,64.5,44.0,9.4,9.2,1,1,31.6
23.5,65.9,77.6,55.0,8.2,1,1,53.7
12.7,78.0,42.7,32.9,6.9,0,0,55.6
1.4,95.6,77.2,54.8,8.0,1,0,45.3
16.7,96.0,48.4,22.2,5.9,1,2,55.2
19.0,63.5,54.9,2.4,6.1,1,2,50.0
9.0,59.8,54.4,94.1,6.3,1,2,53.2
22.9,67.1,80.2,10.8,4.2,0,1,55.7
22.6,74.1,62.7,12.7,8.3,0,1,37.1
28.1,67.7,55.3,14.7,8.8,1,0,40.7
25.9,79.5,89.7,98.1,5.9,1,0,71.1
26.1,73.3,70.0,61.8,7.5,1,1,58.3
12.6,59.2,45.0,61.0,6.6,1,1,47.1
31.5,60.7,93.0,98.7,7.5,1,0,71.9
